newick1	newick2	format1	format2	count_taxa1	count_taxa2	correct_taxa_ratio	count_equal_length	count_unequal_length	mean_ham_dist	mean_ham_ratio	mean_edit_dist	mean_edit_dist_total	mean_edit_ratio	mean_edit_ratio_total	mean_abs_diff_leaf_dists	median_abs_diff_leaf_dists	mean_neg_diff_leaf_dists	median_neg_diff_leaf_dists	mean_pos_diff_leaf_dists	median_pos_diff_leaf_dists	mean_pairwise_dist_diff	median_pairwise_dist_diff	rf_dist	max_rf_dist	rf_ratio	count_orig_edges	ref_edges_in_source	count_missing_edges	count_common_edges	correct_edge_ratio	count_multifurcations_original	count_multifurcations_generated	random_distances	max_distance	amount_taxa	package	branch_lengths_displayed	circular_tree	right_to_left_orientation	multifurcations_allowed	branch_vertical_margin[px]	fontsize	linewidth[px]	taxa_only	topo_only	align_taxa	
newick204200204259.nwk	gpt-4.1_finetuned_nwk_130021714563.nwk	5	5	20	20	1.0	20	0	0.0	1.0	0.0	0.0	1.0	1.0	0.8281	0.0	-3.8753	-2.87	1.06	1.06	8.1117	6.6455	11.0	33.0	0.6667	36	0.8333333333333334	6	30	0.8333	1	1	True	7	20	ete3	True	False	False	True	69	10	3	False	False	True	
newick204200204259.nwk	gpt-4.1_topo_141902617053.nwk	5	5	20	20	0.95	19	1	0.5	0.95	0.05	0.05	0.9955	0.9955	0.0	0.0	0	0	0	0	10.0539	6.81	6.0	28.0	0.7857	31	0.9354838709677419	2	29	0.9355	1	1	True	7	20	ete3	True	False	False	True	69	10	3	False	False	True	
newick204200204259.nwk	gpt-5_topo_141947172840.nwk	5	5	20	20	0.95	19	1	0.8	0.95	0.05	0.05	0.9971	0.9971	0.0	0.0	0	0	0	0	8.8423	6.18	9.0	31.0	0.7097	34	0.8529411764705882	5	29	0.8529	1	1	True	7	20	ete3	True	False	False	True	69	10	3	False	False	True	
newick204200466619.nwk	gpt-4.1_finetuned_nwk_130050166766.nwk	5	5	23	23	1.0	23	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	1.1225	1.0	15.0	33.0	0.5455	39	0.7948717948717948	8	31	0.7949	3	3	False	10.0	23	phylo	True	False	False	True	10	16	1	False	False	False	
newick204200466619.nwk	gpt-4.1_topo_142433478755.nwk	5	5	23	23	1.0	23	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	1.5652	1.0	18.0	36.0	0.5	42	0.7380952380952381	11	31	0.7381	3	3	False	10.0	23	phylo	True	False	False	True	10	16	1	False	False	False	
newick204200466619.nwk	gpt-5_topo_142456853065.nwk	5	5	23	23	1.0	23	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	2.9644	2.0	16.0	36.0	0.5556	42	0.7619047619047619	10	32	0.7619	3	3	False	10.0	23	phylo	True	False	False	True	10	16	1	False	False	False	
newick204201172646.nwk	gpt-4.1_finetuned_nwk_130118671277.nwk	5	5	22	22	0.9545	21	1	0.6364	0.9545	0.0455	0.0455	0.9968	0.9968	0.0	0.0	0	0	0	0	1.0857	1.0	5.0	27.0	0.8148	32	0.96875	1	31	0.9688	3	3	False	10.0	22	phylo	True	False	False	True	10	18	1	False	False	False	
newick204201172646.nwk	gpt-4.1_topo_142851908991.nwk	5	5	22	22	0.9091	20	2	1.7727	0.9091	0.1818	0.1818	0.99	0.99	0.0	0.0	0	0	0	0	1.2263	1.0	6.0	28.0	0.7857	33	0.9090909090909091	3	30	0.9091	3	3	False	10.0	22	phylo	True	False	False	True	10	18	1	False	False	False	
newick204201172646.nwk	gpt-5_topo_142912948067.nwk	5	5	22	22	0.9545	21	1	0.6364	0.9545	0.0455	0.0455	0.9968	0.9968	0.0	0.0	0	0	0	0	2.5714	1.0	13.0	33.0	0.6061	38	0.7894736842105263	8	30	0.7895	3	3	False	10.0	22	phylo	True	False	False	True	10	18	1	False	False	False	
newick204201801843.nwk	gpt-4.1_finetuned_nwk_130147676148.nwk	5	5	5	5	1.0	5	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	4.0	1.0	6	1.0	0	6	1.0	0	0	True	8	5	ete3	True	False	False	False	22	18	2	False	False	False	
