newick1	newick2	format1	format2	count_taxa1	count_taxa2	correct_taxa_ratio	count_equal_length	count_unequal_length	mean_ham_dist	mean_ham_ratio	mean_edit_dist	mean_edit_dist_total	mean_edit_ratio	mean_edit_ratio_total	mean_abs_diff_leaf_dists	median_abs_diff_leaf_dists	mean_neg_diff_leaf_dists	median_neg_diff_leaf_dists	mean_pos_diff_leaf_dists	median_pos_diff_leaf_dists	mean_pairwise_dist_diff	median_pairwise_dist_diff	rf_dist	max_rf_dist	rf_ratio	count_orig_edges	ref_edges_in_source	count_missing_edges	count_common_edges	correct_edge_ratio	count_multifurcations_original	count_multifurcations_generated	random_distances	max_distance	amount_taxa	package	branch_lengths_displayed	circular_tree	right_to_left_orientation	multifurcations_allowed	branch_vertical_margin[px]	fontsize	linewidth[px]	taxa_only	topo_only	align_taxa	
newick204126601052.nwk	gpt-4.1_topo_142834578685.nwk	5	5	4	4	0.75	4	0	0.25	0.9808	0.25	0.25	0.9808	0.9808	0.35	0.25	0	0	0.35	0.25	1.28	1.34	NA	0.0	None	2	1.0	0	2	1.0	0	0	True	2	4	phylo	False	False	False	True	10	19	7	False	False	False	
newick204126601052.nwk	gpt-5_topo_142843514463.nwk	5	5	4	4	0.75	4	0	0.25	0.9808	0.25	0.25	0.9808	0.9808	0.35	0.25	0	0	0.35	0.25	1.28	1.34	NA	0.0	None	2	1.0	0	2	1.0	0	0	True	2	4	phylo	False	False	False	True	10	19	7	False	False	False	
newick204126961005.nwk	gpt-4.1_finetuned_nwk_130502905841.nwk	5	5	19	19	0.9474	19	0	0.0526	0.9947	0.0526	0.0526	0.9947	0.9947	3.1133	3.075	0	0	3.1133	3.075	30.4171	29.75	11.0	25.0	0.56	27	0.8888888888888888	3	24	0.8889	0	0	True	7	19	phylo	False	False	False	False	10	17	3	False	False	False	
newick204126961005.nwk	gpt-4.1_topo_143030207864.nwk	5	5	19	19	0.9474	19	0	0.0526	0.9947	0.0526	0.0526	0.9947	0.9947	3.1133	3.075	0	0	3.1133	3.075	31.2667	30.46	6.0	24.0	0.75	26	1.0	0	26	1.0	0	0	True	7	19	phylo	False	False	False	False	10	17	3	False	False	False	
newick204126961005.nwk	gpt-5_topo_143044750521.nwk	5	5	19	19	1.0	19	0	0.0	1.0	0.0	0.0	1.0	1.0	2.96	3.04	0	0	2.96	3.04	27.7841	27.47	2.0	32.0	0.9375	34	0.9705882352941176	1	33	0.9706	0	0	True	7	19	phylo	False	False	False	False	10	17	3	False	False	False	
newick204127455499.nwk	gpt-4.1_finetuned_nwk_130529896249.nwk	5	5	15	15	0.8667	14	1	2.0	0.931	0.1333	0.1333	0.9954	0.9954	2.4154	1.82	-2.904	-2.565	0.7867	0.34	8.2005	7.4	10.0	20.0	0.5	22	0.7727272727272727	5	17	0.7727	0	0	True	8	15	ete3	False	False	False	False	73	16	8	False	False	True	
newick204127455499.nwk	gpt-4.1_topo_143332287161.nwk	5	5	15	15	0.9333	14	1	1.9333	0.9333	0.0667	0.0667	0.9977	0.9977	3.8993	3.94	0	0	3.8993	3.94	25.1081	25.42	10.0	18.0	0.4444	20	0.85	3	17	0.85	0	0	True	8	15	ete3	False	False	False	False	73	16	8	False	False	True	
newick204127455499.nwk	gpt-5_topo_143353138354.nwk	5	5	15	15	1.0	15	0	0.0	1.0	0.0	0.0	1.0	1.0	3.1787	3.07	0	0	3.1787	3.07	21.8337	22.25	9.0	23.0	0.6087	25	0.84	4	21	0.84	0	0	True	8	15	ete3	False	False	False	False	73	16	8	False	False	True	
newick204127692153.nwk	gpt-4.1_finetuned_nwk_130556250432.nwk	5	5	5	5	1.0	5	0	0.0	1.0	0.0	0.0	1.0	1.0	0.384	0.39	0	0	0.384	0.39	1.242	1.185	0.0	4.0	1.0	6	1.0	0	6	1.0	0	0	True	2	5	phylo	False	False	False	False	10	20	8	False	False	False	
newick204127692153.nwk	gpt-4.1_topo_143608137916.nwk	5	5	5	5	1.0	5	0	0.0	1.0	0.0	0.0	1.0	1.0	0.548	0.54	-0.36	-0.36	0.595	0.605	1.642	1.865	0.0	4.0	1.0	6	1.0	0	6	1.0	0	0	True	2	5	phylo	False	False	False	False	10	20	8	False	False	False	
newick204127692153.nwk	gpt-5_topo_143618543854.nwk	5	5	5	5	1.0	5	0	0.0	1.0	0.0	0.0	1.0	1.0	0.384	0.39	0	0	0.384	0.39	1.362	1.665	0.0	4.0	1.0	6	1.0	0	6	1.0	0	0	True	2	5	phylo	False	False	False	False	10	20	8	False	False	False	
newick204128061571.nwk	gpt-4.1_finetuned_nwk_130619607806.nwk	5	5	3	3	1.0	3	0	0.0	1.0	0.0	0.0	1.0	1.0	1.4733	1.36	0	0	1.4733	1.36	3.0467	3.21	NA	0.0	None	2	1.0	0	2	1.0	0	0	True	6	3	ete3	False	False	False	True	59	19	6	False	False	True	
newick204128061571.nwk	gpt-4.1_topo_143837128448.nwk	5	5	3	3	1.0	3	0	0.0	1.0	0.0	0.0	1.0	1.0	2.19	1.41	0	0	2.19	1.41	5.18	5.18	NA	0.0	None	2	1.0	0	2	1.0	0	0	True	6	3	ete3	False	False	False	True	59	19	6	False	False	True	
newick204128061571.nwk	gpt-5_topo_143845438964.nwk	5	5	3	3	1.0	3	0	0.0	1.0	0.0	0.0	1.0	1.0	2.1067	1.66	0	0	2.1067	1.66	5.2467	5.08	NA	0.0	None	2	1.0	0	2	1.0	0	0	True	6	3	ete3	False	False	False	True	59	19	6	False	False	True	
newick204128133703.nwk	gpt-4.1_finetuned_nwk_130641007786.nwk	5	5	13	13	1.0	13	0	0.0	1.0	0.0	0.0	1.0	1.0	3.0162	2.77	0	0	3.0162	2.77	20.7215	19.605	3.0	15.0	0.8	19	0.9473684210526315	1	18	0.9474	2	2	True	7	14	phylo	False	False	False	True	10	19	1	False	False	False	
newick204128133703.nwk	gpt-4.1_topo_144001944324.nwk	5	5	13	13	1.0	13	0	0.0	1.0	0.0	0.0	1.0	1.0	3.0162	2.77	0	0	3.0162	2.77	20.5677	19.785	1.0	15.0	0.9333	19	1.0	0	19	1.0	2	2	True	7	14	phylo	False	False	False	True	10	19	1	False	False	False	
newick204128133703.nwk	gpt-5_topo_144019099025.nwk	5	5	13	13	1.0	13	0	0.0	1.0	0.0	0.0	1.0	1.0	3.0162	2.77	0	0	3.0162	2.77	19.3113	18.65	4.0	18.0	0.7778	22	0.8636363636363636	3	19	0.8636	2	2	True	7	14	phylo	False	False	False	True	10	19	1	False	False	False	
newick204128631582.nwk	gpt-4.1_finetuned_nwk_130706064378.nwk	5	5	11	11	0.8182	10	1	1.8182	0.8977	0.2727	0.2727	0.9836	0.9836	0.0	0.0	0	0	0	0	1.0	1.0	1.0	11.0	0.9091	13	1.0	0	13	1.0	0	0	False	10.0	11	ete3	False	False	False	True	98	18	10	False	False	False	
newick204128631582.nwk	gpt-4.1_topo_144204194588.nwk	5	5	11	11	1.0	11	0	0.0	1.0	0.0	0.0	1.0	1.0	0.5	0.5	0	0	0.5	0.5	2.6727	2.5	2.0	14.0	0.8571	16	1.0	0	16	1.0	0	0	False	10.0	11	ete3	False	False	False	True	98	18	10	False	False	False	
newick204128631582.nwk	gpt-5_topo_144218680505.nwk	5	5	11	11	1.0	11	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.5091	0.0	0.0	16.0	1.0	18	1.0	0	18	1.0	0	0	False	10.0	11	ete3	False	False	False	True	98	18	10	False	False	False	
newick204128935453.nwk	gpt-4.1_finetuned_nwk_130730131170.nwk	5	5	14	14	1.0	14	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	1.2198	1.0	6.0	16.0	0.625	19	0.9473684210526315	1	18	0.9474	2	2	False	10.0	14	phylo	False	False	False	True	10	17	9	False	False	False	
newick204128935453.nwk	gpt-4.1_topo_144451523536.nwk	5	5	14	14	1.0	14	0	0.0	1.0	0.0	0.0	1.0	1.0	0.5357	0.75	0	0	0.75	0.75	2.0632	1.5	9.0	17.0	0.4706	20	0.85	3	17	0.85	2	2	False	10.0	14	phylo	False	False	False	True	10	17	9	False	False	False	
newick204128935453.nwk	gpt-5_topo_144509305929.nwk	5	5	14	14	1.0	14	0	0.0	1.0	0.0	0.0	1.0	1.0	0.5143	0.5	-0.5	-0.5	0.5154	0.5	2.9522	3.1	1.0	21.0	0.9524	24	0.9583333333333334	1	23	0.9583	2	2	False	10.0	14	phylo	False	False	False	True	10	17	9	False	False	False	
